UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Difference temperature [K],Power
176,L,298.2,308.1,1382,43.5,37,0,No Failure,9.900000000000034,60117.0
177,L,298.2,308.1,1618,34.7,39,0,No Failure,9.900000000000034,56144.600000000006
178,L,298.2,308.2,1988,21.4,41,0,No Failure,10.0,42543.2
179,L,298.2,308.2,1436,50.2,43,0,No Failure,10.0,72087.2
180,L,298.2,308.3,1304,49.8,45,0,No Failure,10.100000000000023,64939.2
181,L,298.2,308.3,1475,49.9,47,0,No Failure,10.100000000000023,73602.5
182,H,298.2,308.3,1824,24.2,49,0,No Failure,10.100000000000023,44140.799999999996
183,M,298.1,308.2,1342,48.1,54,0,No Failure,10.099999999999966,64550.200000000004
184,L,298.1,308.2,1485,40.7,57,0,No Failure,10.099999999999966,60439.50000000001
185,L,298.2,308.2,1667,30.6,59,0,No Failure,10.0,51010.200000000004
186,L,298.2,308.2,1446,38.2,61,0,No Failure,10.0,55237.200000000004
187,L,298.1,308.3,1301,56.0,63,0,No Failure,10.199999999999989,72856.0
188,L,298.2,308.4,1379,43.1,65,0,No Failure,10.199999999999989,59434.9
189,L,298.3,308.5,1606,33.6,67,0,No Failure,10.199999999999989,53961.600000000006
190,M,298.3,308.4,1539,43.4,69,0,No Failure,10.099999999999966,66792.59999999999
191,L,298.2,308.4,1477,49.9,72,0,No Failure,10.199999999999989,73702.3
192,L,298.2,308.4,1666,34.6,74,0,No Failure,10.199999999999989,57643.600000000006
193,H,298.2,308.4,1398,51.8,76,0,No Failure,10.199999999999989,72416.4
194,H,298.2,308.4,1678,34.6,81,0,No Failure,10.199999999999989,58058.8
195,M,298.2,308.5,2678,10.7,86,1,Power Failure,10.300000000000011,28654.6
196,L,298.3,308.5,1453,42.9,89,0,No Failure,10.199999999999989,62333.7
197,H,298.3,308.6,1432,49.5,91,0,No Failure,10.300000000000011,70884.0
198,M,298.4,308.6,1527,40.9,96,0,No Failure,10.200000000000045,62454.299999999996
199,L,298.4,308.7,1588,35.0,99,0,No Failure,10.300000000000011,55580.0
200,L,298.4,308.6,1433,47.1,101,0,No Failure,10.200000000000045,67494.3
201,L,298.4,308.6,1609,35.0,103,0,No Failure,10.200000000000045,56315.0
202,L,298.3,308.5,1575,41.2,105,0,No Failure,10.199999999999989,64890.00000000001
203,M,298.4,308.5,1636,35.7,107,0,No Failure,10.100000000000023,58405.200000000004
204,L,298.4,308.5,1490,37.9,110,0,No Failure,10.100000000000023,56471.0
205,L,298.4,308.5,1741,32.8,112,0,No Failure,10.100000000000023,57104.799999999996
206,M,298.5,308.6,1344,53.0,114,0,No Failure,10.100000000000023,71232.0
207,L,298.5,308.7,1609,35.3,117,0,No Failure,10.199999999999989,56797.7
208,M,298.4,308.7,1421,60.7,119,1,Power Failure,10.300000000000011,86254.7
209,L,298.4,308.6,1591,36.7,122,0,No Failure,10.200000000000045,58389.700000000004
210,L,298.4,308.6,1477,44.0,124,0,No Failure,10.200000000000045,64988.0
211,L,298.4,308.7,1523,36.1,126,0,No Failure,10.300000000000011,54980.3
212,L,298.5,308.7,1575,33.9,128,0,No Failure,10.199999999999989,53392.5
213,H,298.4,308.7,1344,52.9,130,0,No Failure,10.300000000000011,71097.59999999999
214,L,298.4,308.7,1386,44.9,135,0,No Failure,10.300000000000011,62231.4
215,M,298.3,308.6,1589,37.1,137,0,No Failure,10.300000000000011,58951.9
216,L,298.3,308.6,1548,40.3,140,0,No Failure,10.300000000000011,62384.399999999994
217,L,298.3,308.6,1499,38.3,142,0,No Failure,10.300000000000011,57411.7
218,L,298.3,308.5,1664,31.6,144,0,No Failure,10.199999999999989,52582.4
219,L,298.3,308.6,1447,38.1,146,0,No Failure,10.300000000000011,55130.700000000004
220,M,298.3,308.5,1434,46.2,148,0,No Failure,10.199999999999989,66250.8
221,L,298.3,308.5,1416,52.7,151,0,No Failure,10.199999999999989,74623.2
222,H,298.4,308.5,1827,24.3,153,0,No Failure,10.100000000000023,44396.1
223,L,298.4,308.6,1304,45.0,158,0,No Failure,10.200000000000045,58680.0
224,L,298.4,308.6,1569,34.4,160,0,No Failure,10.200000000000045,53973.6
225,L,298.3,308.6,1584,29.3,162,0,No Failure,10.300000000000011,46411.200000000004
226,L,298.3,308.5,1362,53.8,164,0,No Failure,10.199999999999989,73275.59999999999
227,L,298.3,308.4,1329,49.2,166,0,No Failure,10.099999999999966,65386.8
228,L,298.3,308.5,1539,36.1,168,0,No Failure,10.199999999999989,55557.9
229,M,298.3,308.5,1629,37.1,170,0,No Failure,10.199999999999989,60435.9
230,L,298.3,308.5,1538,32.2,173,0,No Failure,10.199999999999989,49523.600000000006
231,L,298.3,308.6,1570,34.8,175,0,No Failure,10.300000000000011,54635.99999999999
232,L,298.3,308.4,1408,43.1,177,0,No Failure,10.099999999999966,60684.8
233,L,298.2,308.4,1424,47.6,179,0,No Failure,10.199999999999989,67782.40000000001
234,L,298.2,308.4,1512,34.9,181,0,No Failure,10.199999999999989,52768.799999999996
235,L,298.2,308.4,1478,42.9,183,0,No Failure,10.199999999999989,63406.2
236,M,298.1,308.3,1680,33.7,185,0,No Failure,10.199999999999989,56616.00000000001
237,L,298.1,308.3,1495,38.7,188,0,No Failure,10.199999999999989,57856.50000000001
238,M,298.0,308.1,1552,36.6,190,0,No Failure,10.100000000000023,56803.200000000004
239,L,297.9,308.1,1393,50.3,193,0,No Failure,10.200000000000045,70067.9
240,L,298.0,308.2,1611,30.6,195,0,No Failure,10.199999999999989,49296.600000000006
241,M,298.0,308.1,1339,51.6,197,0,No Failure,10.100000000000023,69092.40000000001
242,L,298.0,308.1,1777,24.3,200,0,No Failure,10.100000000000023,43181.1
243,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,10.199999999999989,79262.4
244,L,298.0,308.2,1442,44.1,204,0,No Failure,10.199999999999989,63592.200000000004
245,M,298.0,308.2,1395,49.1,206,0,No Failure,10.199999999999989,68494.5
246,M,297.9,308.1,1627,31.4,209,0,No Failure,10.200000000000045,51087.799999999996
247,L,297.9,308.1,1585,33.5,212,0,No Failure,10.200000000000045,53097.5
248,L,298.0,308.2,1469,45.5,214,0,No Failure,10.199999999999989,66839.5
249,L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,10.300000000000011,77361.59999999999
250,L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,10.300000000000011,78961.0
251,L,298.0,308.3,1662,32.7,0,0,No Failure,10.300000000000011,54347.4
252,M,298.0,308.2,1466,42.6,2,0,No Failure,10.199999999999989,62451.6
253,L,298.0,308.2,1620,35.8,5,0,No Failure,10.199999999999989,57995.99999999999
254,L,298.0,308.2,1357,48.2,7,0,No Failure,10.199999999999989,65407.4
255,L,298.0,308.2,1514,37.9,9,0,No Failure,10.199999999999989,57380.6
256,L,298.0,308.2,1489,40.4,11,0,No Failure,10.199999999999989,60155.6
257,L,298.1,308.3,1331,63.0,13,0,No Failure,10.199999999999989,83853.0
258,L,298.0,308.0,1615,29.5,15,0,No Failure,10.0,47642.5
259,L,298.1,308.2,1482,37.9,17,0,No Failure,10.099999999999966,56167.799999999996
260,M,298.1,308.2,1420,63.9,19,1,Power Failure,10.099999999999966,90738.0
261,M,298.2,308.3,1522,49.1,22,0,No Failure,10.100000000000023,74730.2
262,L,298.1,308.2,1654,32.1,25,0,No Failure,10.099999999999966,53093.4
263,M,298.1,308.2,1736,26.8,27,0,No Failure,10.099999999999966,46524.8
264,M,298.0,308.1,1587,32.3,30,0,No Failure,10.100000000000023,51260.1
265,L,298.1,308.2,1390,47.5,33,0,No Failure,10.099999999999966,66025.0
266,L,298.0,308.1,1454,37.1,35,0,No Failure,10.100000000000023,53943.4
267,H,298.0,308.1,1440,43.7,37,0,No Failure,10.100000000000023,62928.00000000001
268,L,297.9,308.0,1954,21.1,42,0,No Failure,10.100000000000023,41229.4
269,H,297.9,308.0,1800,24.8,44,0,No Failure,10.100000000000023,44640.0
270,L,298.0,308.0,1524,37.0,49,0,No Failure,10.0,56388.0
271,H,298.0,308.0,1520,39.6,51,0,No Failure,10.0,60192.0
272,M,298.1,308.1,1452,40.8,56,0,No Failure,10.0,59241.6
273,L,298.1,308.1,1484,40.4,59,0,No Failure,10.0,59953.6
274,L,298.1,308.0,1426,46.0,61,0,No Failure,9.899999999999977,65596.0
275,L,298.1,308.0,1652,28.5,63,0,No Failure,9.899999999999977,47082.0
276,L,298.0,308.0,1401,54.7,65,0,No Failure,10.0,76634.7
277,M,298.0,307.9,1750,26.6,67,0,No Failure,9.899999999999977,46550.0
278,H,298.0,308.0,1479,50.7,70,0,No Failure,10.0,74985.3
279,M,298.0,308.0,1620,29.4,75,0,No Failure,10.0,47628.0
280,L,298.0,308.1,1819,23.4,78,0,No Failure,10.100000000000023,42564.6
281,M,298.1,308.1,1456,43.7,80,0,No Failure,10.0,63627.200000000004
282,L,298.1,308.0,1626,36.5,83,0,No Failure,9.899999999999977,59349.0
283,M,298.1,308.1,1390,49.8,85,0,No Failure,10.0,69222.0
284,L,298.2,308.2,1469,43.0,88,0,No Failure,10.0,63167.0
285,L,298.2,308.3,2051,19.2,90,0,No Failure,10.100000000000023,39379.2
286,L,298.2,308.3,1568,36.0,92,0,No Failure,10.100000000000023,56448.0
287,L,298.2,308.3,1589,33.2,94,0,No Failure,10.100000000000023,52754.8
288,L,298.2,308.3,1805,31.6,96,0,No Failure,10.100000000000023,57038.0
289,H,298.2,308.4,1385,42.2,98,0,No Failure,10.199999999999989,58447.00000000001
290,L,298.1,308.4,1436,46.7,103,0,No Failure,10.299999999999955,67061.2
291,L,298.1,308.4,1438,45.6,105,0,No Failure,10.299999999999955,65572.8
292,L,298.0,308.3,1473,42.6,107,0,No Failure,10.300000000000011,62749.8
293,L,298.1,308.4,1335,40.2,109,0,No Failure,10.299999999999955,53667.00000000001
294,H,298.1,308.5,1392,44.8,111,0,No Failure,10.399999999999977,62361.6
295,M,298.1,308.5,1372,51.1,116,0,No Failure,10.399999999999977,70109.2
296,M,298.1,308.6,1716,30.7,119,0,No Failure,10.5,52681.2
297,L,298.0,308.5,1395,46.2,122,0,No Failure,10.5,64449.00000000001
298,L,298.0,308.5,1713,25.3,124,0,No Failure,10.5,43338.9
299,H,297.9,308.5,2129,18.7,126,0,No Failure,10.600000000000023,39812.299999999996
300,M,297.8,308.3,1567,35.6,131,0,No Failure,10.5,55785.200000000004
301,L,297.8,308.4,1622,38.3,134,0,No Failure,10.599999999999966,62122.6
302,L,297.7,308.4,1740,27.1,136,0,No Failure,10.699999999999989,47154.0
303,H,297.8,308.4,1512,35.1,138,0,No Failure,10.599999999999966,53071.200000000004
304,M,297.8,308.4,1479,43.5,143,0,No Failure,10.599999999999966,64336.5
305,L,297.8,308.4,1737,27.5,146,0,No Failure,10.599999999999966,47767.5
306,L,297.8,308.4,2129,19.2,148,0,No Failure,10.599999999999966,40876.799999999996
307,L,297.8,308.4,1374,47.1,150,0,No Failure,10.599999999999966,64715.4
308,M,297.8,308.4,1579,36.6,152,0,No Failure,10.599999999999966,57791.4
309,L,297.9,308.5,1305,47.2,155,0,No Failure,10.600000000000023,61596.00000000001
310,M,297.9,308.5,1449,40.8,157,0,No Failure,10.600000000000023,59119.2
311,H,298.0,308.6,1526,41.8,160,0,No Failure,10.600000000000023,63786.799999999996
312,M,298.0,308.6,1453,44.1,165,0,No Failure,10.600000000000023,64077.3
313,L,297.9,308.6,1468,36.0,168,0,No Failure,10.700000000000045,52848.0
314,L,298.0,308.6,1313,50.8,170,0,No Failure,10.600000000000023,66700.4
315,M,297.9,308.5,1300,53.0,172,0,No Failure,10.600000000000023,68900.0
316,L,297.9,308.4,1646,40.6,175,0,No Failure,10.5,66827.6
317,L,297.8,308.4,1714,33.2,177,0,No Failure,10.599999999999966,56904.8
318,L,297.8,308.4,1685,28.4,179,0,No Failure,10.599999999999966,47854.0
319,L,297.8,308.4,1512,39.9,181,0,No Failure,10.599999999999966,60328.799999999996
320,L,297.8,308.4,1612,32.1,183,0,No Failure,10.599999999999966,51745.200000000004
321,H,297.8,308.4,1550,38.2,185,0,No Failure,10.599999999999966,59210.00000000001
322,L,297.8,308.4,1518,32.5,190,0,No Failure,10.599999999999966,49335.0
323,L,297.8,308.5,1448,40.0,192,0,No Failure,10.699999999999989,57920.0
324,L,297.8,308.5,1561,46.3,194,0,No Failure,10.699999999999989,72274.29999999999
325,M,297.8,308.5,1488,41.9,196,0,No Failure,10.699999999999989,62347.2
326,L,297.8,308.5,1699,27.8,199,0,No Failure,10.699999999999989,47232.200000000004
327,L,297.7,308.5,1501,41.4,201,0,No Failure,10.800000000000011,62141.4
328,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,10.800000000000011,77849.1
329,H,297.6,308.4,1703,31.4,205,0,No Failure,10.799999999999955,53474.2
330,H,297.7,308.5,1720,29.9,210,0,No Failure,10.800000000000011,51428.0
331,M,297.6,308.4,1398,41.9,215,0,No Failure,10.799999999999955,58576.2
332,M,297.6,308.4,1391,51.9,218,0,No Failure,10.799999999999955,72192.9
333,M,297.6,308.3,1538,40.2,0,0,No Failure,10.699999999999989,61827.600000000006
334,L,297.5,308.2,1647,31.3,3,0,No Failure,10.699999999999989,51551.1
335,M,297.5,308.1,1469,44.8,5,0,No Failure,10.600000000000023,65811.2
